client,n_samples,accuracy,precision,recall,f1_macro,f1_micro,f1_per_class,auc
0,937,0.24355846643447876,0.13399228455198223,0.9893897878040444,0.22909708284822505,0.24534185109133774,"[0.36202307009760426, 0.2114047287899861, 0.42248062015503873, 0.4331103678929766, 0.22537878787878787, 0.24835371589840075, 0.09164969450101833, 0.2293488824101069, 0.24928639391056137, 0.19371069182389938, 0.13404255319148936, 0.12984054669703873, 0.2017291066282421, 0.075]",0.716012283082889
1,937,0.23631651699543,0.12859804090477553,0.9729372455670283,0.21889843632935452,0.23736297198538367,"[0.35221238938053095, 0.19889502762430938, 0.4505928853754941, 0.4172297297297297, 0.22369668246445498, 0.2698706099815157, 0.0720164609053498, 0.23461538461538461, 0.2133850630455868, 0.14834437086092717, 0.12605042016806722, 0.11738148984198646, 0.21032504780114722, 0.0299625468164794]",0.7031710512814934
2,937,0.2451593279838562,0.13475143075105947,0.9902578159374424,0.22970587773579915,0.24745402036783706,"[0.3237410071942446, 0.2206896551724138, 0.44145873320537427, 0.44867549668874174, 0.2632066728452271, 0.23984891406987724, 0.09164969450101833, 0.2222222222222222, 0.23461538461538461, 0.19974059662775617, 0.16352201257861634, 0.1446051167964405, 0.17898832684824903, 0.04291845493562232]",0.7142149427579136
3,937,0.24150022864341736,0.13284199044442704,0.9793927266058847,0.22616221580180534,0.24495371073000455,"[0.3596102745792737, 0.1855388813096862, 0.4381139489194499, 0.44739022369511183, 0.25512104283054005, 0.22981956315289648, 0.0720164609053498, 0.24061597690086622, 0.2205029013539652, 0.17402269861286254, 0.14947368421052631, 0.1426978818283166, 0.20861244019138755, 0.042735042735042736]",0.7208042921924539
