round,client,n_train_samples,local_train_loss,local_test_accuracy,local_test_precision,local_test_recall,local_test_f1,local_test_f1_micro,local_test_f1_per_class,local_test_auc,size_weight,performance_weight,adaptive_weight
1,0,3744,1.1502920226663607,0.19477054476737976,0.12362176404785956,0.9285714285714286,0.21242866187403733,0.23484244838826512,"[0.35758106923751093, 0.15732546705998032, 0.3886500429922614, 0.4331103678929766, 0.22537878787878787, 0.24719101123595505, 0.09164969450101833, 0.22537878787878787, 0.24531835205992508, 0.1579466929911155, 0.126, 0.11693548387096774, 0.20153550863723607, 0.0]",0.605790022289968,0.25,0.2560198834818509,0.25240795339274036
1,1,3744,1.1493915028042263,0.16183869540691376,0.12210278855812387,0.9963054187192119,0.20964191986932532,0.22368142342723998,"[0.3546971027216857, 0.14638971315529178, 0.411864406779661, 0.4172297297297297, 0.22369668246445498, 0.27121771217712176, 0.07246376811594203, 0.23374175306314798, 0.21353670162059105, 0.13784461152882205, 0.12036108324974924, 0.10526315789473684, 0.21012416427889208, 0.016556291390728478]",0.5998312164341171,0.25,0.2510080158815968,0.25040320635263874
1,2,3744,1.1478658987925603,0.1707577407360077,0.12581375873832262,0.9705357142857143,0.21602238267927493,0.23210504023718764,"[0.3267857142857143, 0.1627450980392157, 0.4064625850340136, 0.44867549668874174, 0.2632066728452271, 0.2387218045112782, 0.09164969450101833, 0.21863117870722434, 0.23040604343720492, 0.1565906838453915, 0.15369458128078817, 0.13144590495449948, 0.17881438289601556, 0.016483516483516484]",0.6074480224718367,0.25,0.2574232142845937,0.2529692857138375
1,3,3744,1.1650211426437411,0.14247599244117737,0.1243734305018491,0.9858630952380952,0.2131600468475038,0.22447431920027577,"[0.35758106923751093, 0.14271555996035679, 0.39692044482463645, 0.44739022369511183, 0.25512104283054005, 0.22873345935727787, 0.0720164609053498, 0.23540489642184556, 0.21863117870722434, 0.13717693836978131, 0.14271555996035679, 0.12770339855818744, 0.2084130019120459, 0.013717421124828532]",0.5810664436360897,0.25,0.23554888635195856,0.24421955454078342
2,0,3744,1.1389793314485468,0.19820094108581543,0.1252010315544136,0.9338293650793651,0.21514899295785414,0.23538819424251237,"[0.35758106923751093, 0.15732546705998032, 0.3886500429922614, 0.4331103678929766, 0.22537878787878787, 0.2469597754911132, 0.09164969450101833, 0.22537878787878787, 0.24531835205992508, 0.17440543601359004, 0.126, 0.1170534813319879, 0.20153550863723607, 0.021739130434782608]",0.6009192001841948,0.25,0.2534251656870531,0.2513700662748212
2,1,3744,1.1318865674683172,0.18684250116348267,0.12081416517692563,0.9273399014778325,0.20727694134582597,0.22864993853496277,"[0.3546971027216857, 0.14638971315529178, 0.411864406779661, 0.4172297297297297, 0.22369668246445498, 0.27121771217712176, 0.0720164609053498, 0.23374175306314798, 0.21353670162059105, 0.11987381703470032, 0.12060301507537688, 0.10688591983556012, 0.21012416427889208, 0.0]",0.5990461929309691,0.25,0.2518478240830177,0.2507391296332071
2,2,3744,1.1363417455273817,0.19766733050346375,0.1252082120855172,0.9274725274725275,0.21482998566902126,0.2377055116969653,"[0.3267857142857143, 0.1627450980392157, 0.4064625850340136, 0.44867549668874174, 0.2632066728452271, 0.2387218045112782, 0.09164969450101833, 0.21863117870722434, 0.23040604343720492, 0.15748031496062992, 0.15369458128078817, 0.13034623217922606, 0.17881438289601556, 0.0]",0.59915240459544,0.25,0.25193713788965466,0.25077485515586184
2,3,3744,1.1523858004655594,0.15924683213233948,0.12465638777215805,0.9836309523809524,0.2136659992960157,0.2277151459981794,"[0.35758106923751093, 0.14271555996035679, 0.39692044482463645, 0.44739022369511183, 0.25512104283054005, 0.22873345935727787, 0.0720164609053498, 0.23540489642184556, 0.21863117870722434, 0.13813813813813813, 0.14271555996035679, 0.12958963282937366, 0.2084130019120459, 0.017953321364452424]",0.5881749095374308,0.25,0.2427898723402744,0.24711594893610977
3,0,3744,1.1373706580227256,0.18028663098812103,0.12628914453427093,0.9504960317460318,0.2167977422415595,0.23088477219083042,"[0.35758106923751093, 0.15732546705998032, 0.3886500429922614, 0.4331103678929766, 0.22537878787878787, 0.2469597754911132, 0.09164969450101833, 0.22537878787878787, 0.24531835205992508, 0.20029027576197386, 0.12612612612612611, 0.12121212121212122, 0.20153550863723607, 0.014652014652014652]",0.5981864833468912,0.25,0.24617642015397442,0.24847056806158976
3,1,3744,1.1240897083384358,0.20590029656887054,0.12115643096996186,0.921845395983327,0.20784715874307963,0.23240733917913198,"[0.3546971027216857, 0.14638971315529178, 0.411864406779661, 0.4172297297297297, 0.22369668246445498, 0.27121771217712176, 0.0720164609053498, 0.23374175306314798, 0.21353670162059105, 0.11776859504132231, 0.12036108324974924, 0.11721611721611722, 0.21012416427889208, 0.0]",0.607727781404938,0.25,0.254092262869533,0.25163690514781323
3,2,3744,1.1303526872243637,0.20704375207424164,0.12738490908972586,0.9400969109630527,0.21861685303552716,0.2397310334746382,"[0.3267857142857143, 0.1627450980392157, 0.4064625850340136, 0.44867549668874174, 0.2632066728452271, 0.24561403508771928, 0.09164969450101833, 0.21863117870722434, 0.23040604343720492, 0.16112789526686808, 0.15476190476190477, 0.15162454873646208, 0.1793372319688109, 0.0196078431372549]",0.6148207053117345,0.25,0.2600580074337808,0.25402320297351233
3,3,3744,1.1391737988361945,0.19408446550369263,0.12507451196442754,0.9382440476190476,0.2143350970501845,0.2350217076700434,"[0.35758106923751093, 0.14271555996035679, 0.39692044482463645, 0.44739022369511183, 0.25512104283054005, 0.22873345935727787, 0.0720164609053498, 0.23540489642184556, 0.21863117870722434, 0.1373134328358209, 0.14271555996035679, 0.14553990610328638, 0.2084130019120459, 0.012195121951219513]",0.5902326175954187,0.25,0.23967330954271177,0.2458693238170847
4,0,3744,1.126204363301269,0.17052903771400452,0.12516122862833656,0.9761904761904762,0.2153048886930722,0.23020870180403255,"[0.35758106923751093, 0.15732546705998032, 0.3896551724137931, 0.4331103678929766, 0.22537878787878787, 0.2469597754911132, 0.09164969450101833, 0.22537878787878787, 0.24531835205992508, 0.16376663254861823, 0.126, 0.12210526315789473, 0.20153550863723607, 0.028503562945368172]",0.6131256284133393,0.25,0.24975093012617905,0.2499003720504716
4,1,3744,1.1203789478693253,0.1728159785270691,0.12105608140754294,0.9402519893899203,0.2077406188841095,0.22564761293084992,"[0.3546971027216857, 0.14638971315529178, 0.411864406779661, 0.4172297297297297, 0.22369668246445498, 0.27121771217712176, 0.0720164609053498, 0.23374175306314798, 0.21353670162059105, 0.12038014783526928, 0.12036108324974924, 0.10714285714285714, 0.21012416427889208, 0.005970149253731343]",0.6034426512547013,0.25,0.2419246827597897,0.24676987310391588
4,2,3744,1.1236910964179243,0.18120139837265015,0.126698763951849,0.9835164835164836,0.2175924495916628,0.23437165870696414,"[0.3267857142857143, 0.1627450980392157, 0.4064625850340136, 0.44867549668874174, 0.2632066728452271, 0.23962264150943396, 0.09164969450101833, 0.21863117870722434, 0.23040604343720492, 0.1579466929911155, 0.15369458128078817, 0.14432989690721648, 0.17881438289601556, 0.023323615160349854]",0.6327534124335037,0.25,0.26599726216180675,0.2563989048647227
4,3,3744,1.1371804380009316,0.1807440221309662,0.1257395226938298,0.9608918240850058,0.21538069360078613,0.23208288674526617,"[0.35758106923751093, 0.14271555996035679, 0.39692044482463645, 0.44739022369511183, 0.25512104283054005, 0.23738872403560832, 0.0720164609053498, 0.2405431619786615, 0.21863117870722434, 0.1398176291793313, 0.14328358208955225, 0.1409090909090909, 0.2084130019120459, 0.014598540145985401]",0.6039443567215346,0.25,0.24232712495222467,0.24693084998088988
5,0,3744,1.124153656225938,0.1775423139333725,0.12558525492322942,0.9761904761904762,0.21605803732438258,0.23171686961475468,"[0.3585237258347979, 0.15732546705998032, 0.3886500429922614, 0.4331103678929766, 0.22537878787878787, 0.24719101123595505, 0.09164969450101833, 0.22537878787878787, 0.24554826616682288, 0.16842105263157894, 0.126, 0.12366737739872068, 0.20153550863723607, 0.032432432432432434]",0.6179829716198845,0.25,0.2530082158359591,0.25120328633438366
5,1,3744,1.1160126545490363,0.1930934637784958,0.12252790511082878,0.9391625615763547,0.21024930133088127,0.2299017824663514,"[0.3546971027216857, 0.14638971315529178, 0.411864406779661, 0.4172297297297297, 0.22369668246445498, 0.27121771217712176, 0.0720164609053498, 0.23374175306314798, 0.21853658536585366, 0.14884979702300405, 0.12036108324974924, 0.1077720207253886, 0.21012416427889208, 0.006993006993006993]",0.6075105470963111,0.25,0.24450584848407458,0.24780233939362983
5,2,3744,1.1206047401468977,0.16534532606601715,0.1261248187176009,0.9835164835164836,0.2165458185285324,0.23094753108098617,"[0.3267857142857143, 0.1627450980392157, 0.4064625850340136, 0.44867549668874174, 0.2632066728452271, 0.2387218045112782, 0.09164969450101833, 0.21863117870722434, 0.23040604343720492, 0.16, 0.15369458128078817, 0.13606911447084233, 0.17881438289601556, 0.015779092702169626]",0.6309146591689566,0.25,0.26370771999441395,0.2554830879977656
5,3,3744,1.132234895076507,0.1957615464925766,0.12459209384023615,0.9285714285714286,0.21343288403246166,0.23550724637681159,"[0.35758106923751093, 0.14271555996035679, 0.39692044482463645, 0.44739022369511183, 0.25512104283054005, 0.22873345935727787, 0.0720164609053498, 0.2358490566037736, 0.21863117870722434, 0.13717693836978131, 0.14271555996035679, 0.14479638009049775, 0.2084130019120459, 0.0]",0.6003528098175274,0.25,0.23877821568555238,0.24551128627422095
6,0,3744,1.122833461384488,0.19865833222866058,0.12695146141091504,0.966468253968254,0.21840677428538005,0.23604651162790696,"[0.35758106923751093, 0.15732546705998032, 0.3886500429922614, 0.4331103678929766, 0.22537878787878787, 0.24719101123595505, 0.09164969450101833, 0.22537878787878787, 0.24531835205992508, 0.18705035971223022, 0.126, 0.12747252747252746, 0.20153550863723607, 0.04405286343612335]",0.6208740077166774,0.25,0.24690522243066643,0.24876208897226657
6,1,3744,1.1117942285843385,0.18790973722934723,0.12255918469425901,0.9763830996589616,0.2104365737961722,0.22865831583520382,"[0.3546971027216857, 0.14638971315529178, 0.411864406779661, 0.4172297297297297, 0.22369668246445498, 0.27121771217712176, 0.0720164609053498, 0.23440453686200377, 0.2139446036294174, 0.12472160356347439, 0.12048192771084337, 0.12368421052631579, 0.2109300095877277, 0.020833333333333332]",0.6178482405789226,0.25,0.24450455081353337,0.24780182032541334
6,2,3744,1.1173051952296853,0.17060527205467224,0.12655492831330878,0.9848214285714286,0.2172819596201009,0.23218066337332394,"[0.3267857142857143, 0.1627450980392157, 0.4064625850340136, 0.44867549668874174, 0.2632066728452271, 0.2389463781749765, 0.09164969450101833, 0.21863117870722434, 0.23040604343720492, 0.170995670995671, 0.15369458128078817, 0.13402061855670103, 0.17881438289601556, 0.016913319238900635]",0.6456049091395238,0.25,0.26696662204816557,0.2567866488192662
6,3,3744,1.1274061266173665,0.17411190271377563,0.12640788783527704,0.9860248447204969,0.21664589760209232,0.2310858765081618,"[0.35758106923751093, 0.14285714285714285, 0.39692044482463645, 0.44739022369511183, 0.25512104283054005, 0.22873345935727787, 0.0720164609053498, 0.23540489642184556, 0.22051773729626079, 0.17268041237113402, 0.14271555996035679, 0.13544973544973546, 0.2084130019120459, 0.017241379310344827]",0.6141974661826314,0.25,0.2416236047076346,0.24664944188305385
7,0,3744,1.122515659301709,0.1895868331193924,0.12700902200577963,0.9902777777777778,0.21854340013063492,0.23435361901332374,"[0.35758106923751093, 0.15732546705998032, 0.3886500429922614, 0.4331103678929766, 0.22537878787878787, 0.2469597754911132, 0.09164969450101833, 0.22537878787878787, 0.24531835205992508, 0.18593563766388557, 0.126, 0.13333333333333333, 0.20153550863723607, 0.04145077720207254]",0.6314575847844556,0.25,0.25316216458066865,0.2512648658322675
7,1,3744,1.1086724293537629,0.1683945655822754,0.12180092582023332,0.9857142857142858,0.20917268876341716,0.22526809175484697,"[0.3546971027216857, 0.14638971315529178, 0.411864406779661, 0.4172297297297297, 0.22369668246445498, 0.27121771217712176, 0.0720164609053498, 0.23374175306314798, 0.21374045801526717, 0.1235356762513312, 0.12036108324974924, 0.1111111111111111, 0.21012416427889208, 0.018691588785046728]",0.6160927096579957,0.25,0.24099196977274828,0.2463967879090993
7,2,3744,1.1147806850254027,0.17052903771400452,0.12641304317600083,0.9839285714285715,0.21703912066163042,0.23205589667584162,"[0.3267857142857143, 0.1627450980392157, 0.4064625850340136, 0.44867549668874174, 0.2632066728452271, 0.2387218045112782, 0.09164969450101833, 0.21863117870722434, 0.23040604343720492, 0.16631130063965885, 0.15369458128078817, 0.13527575442247658, 0.17881438289601556, 0.017167381974248927]",0.6363514773674803,0.25,0.2571014615000176,0.252840584600007
7,3,3744,1.1252884664596656,0.15939930081367493,0.12526156509897451,1.0,0.2147727092737067,0.22828749387640843,"[0.35758106923751093, 0.14271555996035679, 0.39692044482463645, 0.44739022369511183, 0.25512104283054005, 0.22894985808893092, 0.0720164609053498, 0.23540489642184556, 0.21863117870722434, 0.14665249734325186, 0.14271555996035679, 0.13417190775681342, 0.2084130019120459, 0.020134228187919462]",0.6259237687978872,0.25,0.2487444041465655,0.2494977616586262
