client,n_samples,accuracy,precision,recall,f1_macro,f1_micro,f1_per_class,auc
0,937,0.35493215918540955,0.1538787414578063,0.9310883675315348,0.25696509672632784,0.2703914468011726,"[0.4267877412031782, 0.30739299610894943, 0.4553376906318083, 0.4331103678929766, 0.22753346080305928, 0.24615384615384617, 0.09331919406150584, 0.25327510917030566, 0.256198347107438, 0.21153846153846154, 0.1907790143084261, 0.14634146341463414, 0.21181262729124237, 0.13793103448275862]",0.7411300021360656
1,937,0.34547948837280273,0.1447873428871048,0.9414066201882593,0.24198595866457503,0.25982758620689655,"[0.4055299539170507, 0.2514506769825919, 0.48068669527896996, 0.41694915254237286, 0.22454804947668885, 0.2732447817836812, 0.07367280606717226, 0.25905598243688255, 0.22784810126582278, 0.1645021645021645, 0.17197452229299362, 0.12734082397003746, 0.2134387351778656, 0.0975609756097561]",0.7358667233192068
2,937,0.35668545961380005,0.15325939209782138,0.9340440700299315,0.2557297888109465,0.27180947450168264,"[0.37971698113207547, 0.3080082135523614, 0.47198275862068967, 0.44867549668874174, 0.26517273576097106, 0.24, 0.09453781512605042, 0.24476295479603086, 0.2513089005235602, 0.21839080459770116, 0.21818181818181817, 0.1614123581336696, 0.18575851393188855, 0.09230769230769231]",0.7449361613719789
3,937,0.34761396050453186,0.14929938947542962,0.933322474853501,0.24909958987127406,0.26578586135895677,"[0.4168618266978923, 0.24015748031496062, 0.45633187772925765, 0.4479600333055787, 0.2560747663551402, 0.22846079380445306, 0.07551240560949299, 0.25902335456475584, 0.23664921465968586, 0.18888888888888888, 0.20890937019969277, 0.14833127317676142, 0.21464393179538616, 0.1095890410958904]",0.7380701966597154
