round,fixed_threshold,fixed_precision_macro,fixed_recall_macro,fixed_f1_macro,best_threshold,best_precision_macro,best_recall_macro,best_f1_macro
1,0.25,0.07539682539682538,1.0,0.13399411693518667,0.45172413793103444,0.07515692740032469,0.9285714285714286,0.13351592195780107
2,0.25,0.07523695432591215,0.9302325581395349,0.13366860866355929,0.45172413793103444,0.07525230673953107,0.9279099532358986,0.13367987936341189
3,0.25,0.07515683254079877,0.9285714285714286,0.13351573852674053,0.4379310344827586,0.07797472397868387,0.8463094478247861,0.13772066233282734
4,0.25,0.07537344886776753,0.9302325581395349,0.1339056912290434,0.4655172413793103,0.08209206870092811,0.7424174188226006,0.14153198123051336
5,0.25,0.07527944418829394,0.9282430213464696,0.13375213306867256,0.47931034482758617,0.09072510935912723,0.6106668544234723,0.1503695045650975
6,0.25,0.07597875518679112,0.9136270229947483,0.13504231004099945,0.4379310344827586,0.08659841430141137,0.6907792410480271,0.14627675429924195
7,0.25,0.07560044950395925,0.920168680019219,0.1343501474732056,0.4655172413793103,0.08945378427350835,0.6261942975814326,0.1493487873763597
8,0.25,0.07659192910390546,0.9333912472283904,0.1361450214973491,0.47931034482758617,0.09592237267899559,0.5856856973478815,0.15501044707061978
9,0.25,0.07890665644104998,0.9154501639124272,0.1376864996434543,0.4655172413793103,0.09376517313092189,0.6048282944181673,0.15298885496302086
10,0.25,0.08047684910794962,0.9151754486887668,0.13720102346058358,0.47931034482758617,0.0988506652671436,0.5490083976541759,0.15750972409725977
11,0.25,0.084802290829088,0.9143605345401229,0.1378105251757122,0.4655172413793103,0.09698278763400169,0.5977198598607641,0.15735091610911858
12,0.25,0.08308893551368927,0.91381317671933,0.1454880265512095,0.4655172413793103,0.10013893641085922,0.5730420054729051,0.15920605507579746
13,0.25,0.08070281321163796,0.9405546384377227,0.14291575512446117,0.47931034482758617,0.11994266771896747,0.5897574265929412,0.17172951083640578
14,0.25,0.08138184903806896,0.936376962512112,0.14404219716432326,0.49310344827586206,0.12195759010550265,0.5584247773927492,0.17571924102370556
15,0.25,0.08413644859952044,0.9281042918723251,0.14804530169940686,0.5206896551724137,0.12085040881335019,0.5137101583646058,0.18018344415023194
16,0.25,0.083611916379054,0.9278087757327406,0.1478516516709803,0.5482758620689655,0.12831648128239403,0.5252692212520552,0.18955188357698496
17,0.25,0.08293908508550753,0.927198869702506,0.14663997083198446,0.5620689655172413,0.13224095618020187,0.4812357155174905,0.1946189545858454
18,0.25,0.08238211923137814,0.9437514856722908,0.14617968348841034,0.5344827586206896,0.13519076343349118,0.5754769915606571,0.20005480851884672
19,0.25,0.08454765990408589,0.9390679510587222,0.14938116930891962,0.5758620689655172,0.14723216630866717,0.4677436436745375,0.20256500268835514
20,0.25,0.0853952710497777,0.9235879300791721,0.15075679286639526,0.5758620689655172,0.16504384058041113,0.44907296015142817,0.20453629974329682
21,0.25,0.08612410025842497,0.9332760584761935,0.15172567104271278,0.5758620689655172,0.15880921274381837,0.47971243789132967,0.21146209166520333
22,0.25,0.08582610946956828,0.9291309290504638,0.15198158734793152,0.5896551724137931,0.15019305170391214,0.4750735597826514,0.21186497086290118
23,0.25,0.08783943007112786,0.9208235187278708,0.15495849655350233,0.5896551724137931,0.1540666208882822,0.47450777703469216,0.21438816638651106
24,0.25,0.09178494405199038,0.9114953178196068,0.16061220044954566,0.5620689655172413,0.16359581503986279,0.5230529939992368,0.2186616701279438
25,0.25,0.08965111081589845,0.9164712984766455,0.15699614586012836,0.5896551724137931,0.16116127761294075,0.4943846670535265,0.21903108238839136
