client,n_samples,accuracy,precision,recall,f1,auc,specificity,sensitivity,balanced_accuracy,tn,fp,fn,tp
0,261,0.9386973180076629,0.9945054945054945,0.923469387755102,0.9576719576719577,0.9945054945054945,0.9846153846153847,0.923469387755102,0.9540423861852434,64,1,15,181
1,261,0.9386973180076629,0.9891891891891892,0.9289340101522843,0.9581151832460733,0.9915926395939086,0.96875,0.9289340101522843,0.9488420050761421,62,2,14,183
2,261,0.9425287356321839,0.9945652173913043,0.9289340101522843,0.9606299212598425,0.9959549492385786,0.984375,0.9289340101522843,0.9566545050761421,63,1,14,183
3,261,0.9655172413793104,0.994475138121547,0.9574468085106383,0.975609756097561,0.9973039930049549,0.9863013698630136,0.9574468085106383,0.971874089186826,72,1,8,180
