round,global_accuracy,global_f1,global_auc,global_tn,global_fp,global_fn,global_tp,mean_client_accuracy,std_client_accuracy,global_weight_drift_l2
1,0.8824742268041237,0.879492600422833,0.9572309054380768,220,14,43,208,0.8809278350515464,0.010946783804946047,0.004561801856750728
2,0.8969072164948454,0.8995983935742972,0.9580140974563286,211,23,27,224,0.890721649484536,0.008375297324366994,0.0002697555697067906
3,0.8948453608247423,0.9009708737864077,0.9608914768277318,202,32,19,232,0.9005154639175258,0.006740565376609265,0.00029957838944240687
4,0.9051546391752577,0.9118773946360154,0.9614703578847006,201,33,13,238,0.9005154639175258,0.004917212378437847,0.00018399041276979104
5,0.8989690721649485,0.9073724007561437,0.9596656110600333,196,38,11,240,0.9020618556701031,0.003092783505154628,0.00026444375660110024
6,0.9030927835051547,0.9131238447319778,0.9602274662035617,191,43,4,247,0.9020618556701031,0.0023052247190719403,0.0002942975050133429
7,0.9051546391752577,0.9148148148148149,0.9601934143766813,192,42,4,247,0.9061855670103093,0.00230522471907194,0.00015057531433314387
8,0.9030927835051547,0.9131238447319778,0.9592229373105867,191,43,4,247,0.9020618556701031,0.0037170631705814193,0.00015647359873316696
9,0.9030927835051547,0.9131238447319778,0.9612660469234174,191,43,4,247,0.9005154639175258,0.00571677139505638,0.0001286643410748521
10,0.9195876288659793,0.9259962049335864,0.9633772601900091,202,32,7,244,0.9123711340206185,0.005356858167738776,0.0001286468187744343
11,0.9072164948453608,0.9158878504672897,0.9627983791330406,195,39,6,245,0.9061855670103093,0.006099051322783088,0.0003203381541941224
12,0.9051546391752577,0.914179104477612,0.9614192801443798,194,40,6,245,0.9,0.010563866769030523,0.00014657541154876048
13,0.8989690721649485,0.9097605893186004,0.9626621718255185,189,45,4,247,0.8953608247422681,0.009490697236866998,0.00023886044904454019
14,0.8989690721649485,0.9094269870609981,0.9621513944223107,190,44,5,246,0.8989690721649485,0.00898742050214573,0.0001793160083128189
15,0.8989690721649485,0.9097605893186004,0.9632580787959274,189,45,4,247,0.8963917525773195,0.007901912225131908,0.00020992133619914395
16,0.9010309278350516,0.9114391143911439,0.963564545237852,190,44,4,247,0.9005154639175258,0.00607722996007812,0.00023877698878043015
17,0.8948453608247423,0.9064220183486239,0.9634794156706508,187,47,4,247,0.8927835051546391,0.009780240186087778,0.00045156197769097924
18,0.8969072164948454,0.9080882352941176,0.9629260734838425,188,46,4,247,0.8917525773195877,0.024591464828611475,0.0002524310780881021
19,0.8948453608247423,0.9064220183486239,0.9629005346136821,187,47,4,247,0.8948453608247422,0.009780240186087776,0.00011458215043589124
20,0.8969072164948454,0.9077490774907749,0.9623046276432731,189,45,5,246,0.8963917525773196,0.009148576984174674,0.0001871036719567017
21,0.8969072164948454,0.9077490774907749,0.9628154050464808,189,45,5,246,0.8927835051546392,0.012710131964884486,0.00019694296033528007
22,0.9010309278350516,0.9111111111111111,0.9623982701671945,191,43,5,246,0.9,0.010563866769030476,0.0001506852373029472
23,0.8969072164948454,0.9077490774907749,0.964432866823305,189,45,5,246,0.8943298969072164,0.010244642739356598,0.00018118182947165866
24,0.8907216494845361,0.903107861060329,0.962960125310723,185,49,4,247,0.8871134020618556,0.008035287251608207,0.00013322154781573184
25,0.8865979381443299,0.9001814882032668,0.9624578608642353,182,52,3,248,0.8783505154639175,0.013202318015325445,0.00015267700763478475
