client,n_samples,accuracy,f1,auc,tn,fp,fn,tp
0,261,0.9578544061302682,0.9712793733681462,0.9911302982731554,64,1,10,186
1,261,0.9655172413793104,0.9767441860465116,0.9956376903553299,63,1,8,189
2,261,0.9616858237547893,0.9739583333333334,0.9935755076142132,64,0,10,187
3,261,0.9731800766283525,0.9812332439678284,0.9952637714951909,71,2,5,183
