round,client,n_train_samples,local_train_loss,local_test_accuracy,local_test_f1,local_test_auc,size_weight,performance_weight,adaptive_weight
1,0,1043,0.2169368941189944,0.8907216494845361,0.8888888888888888,0.9609766063949331,0.25,0.2638022861470842,0.2555209144588337
1,1,1043,0.21578573613989216,0.8721649484536083,0.8652173913043478,0.9565158170735859,0.25,0.2374442503305875,0.244977700132235
1,2,1043,0.19434536210529071,0.8680412371134021,0.8626609442060086,0.9537235672693839,0.25,0.23188374191922256,0.24275349676768904
1,3,1043,0.18788549565631923,0.8927835051546392,0.8968253968253969,0.9566349984676678,0.25,0.26686972160310585,0.2567478886412423
2,0,1043,0.14898049822859183,0.9010309278350516,0.9097744360902256,0.9607722954336501,0.25,0.2645722642655779,0.2558289057062312
2,1,1043,0.14050522146855526,0.8824742268041237,0.8805031446540881,0.9579800456294479,0.25,0.23842729646893812,0.24537091858757526
2,2,1043,0.1178019582151741,0.8824742268041237,0.8819875776397516,0.9569074130827118,0.25,0.23842729646893812,0.24537091858757526
2,3,1043,0.11926202912774629,0.8969072164948454,0.900398406374502,0.9568393094289509,0.25,0.2585731427965458,0.2534292571186183
3,0,1043,0.13133364900858935,0.911340206185567,0.9168278529980658,0.9657949398985256,0.25,0.2652420187442676,0.256096807497707
3,1,1043,0.11976898317438557,0.8989690721649485,0.9021956087824351,0.9616235911056628,0.25,0.2477213420932313,0.2490885368372925
3,2,1043,0.0990499505694984,0.8989690721649485,0.9048543689320389,0.958507848946096,0.25,0.2477213420932313,0.2490885368372925
3,3,1043,0.10377977503364096,0.8927835051546392,0.9007633587786259,0.9567712057751899,0.25,0.2393152970692699,0.24572611882770795
4,0,1043,0.11988895010344125,0.9072164948453608,0.9155722326454033,0.9616406170191031,0.25,0.2593637139583711,0.2537454855833485
4,1,1043,0.11818508150289428,0.8948453608247423,0.8986083499005965,0.9620492389416692,0.25,0.24215558033352808,0.24686223213341127
4,2,1043,0.08937499092763844,0.9030927835051547,0.9101338432122371,0.9619641093744679,0.25,0.2535224286132278,0.2514089714452912
4,3,1043,0.09082997572767067,0.8969072164948454,0.9045801526717557,0.9597847924541152,0.25,0.24495827709487286,0.24798331083794917
5,0,1043,0.11567420735611621,0.9030927835051547,0.9131238447319778,0.9600912588960397,0.25,0.2514023775484693,0.2505609510193877
5,1,1043,0.11040948723139521,0.9030927835051547,0.911487758945386,0.9613341505771785,0.25,0.2514023775484693,0.2505609510193877
5,2,1043,0.09572439598074804,0.9051546391752577,0.9122137404580153,0.9584056934654546,0.25,0.2542854021775543,0.2517141608710217
5,3,1043,0.09642326587789785,0.8969072164948454,0.9042145593869731,0.9583375898116934,0.25,0.24290984272550714,0.24716393709020285
6,0,1043,0.10391839049844209,0.9051546391752577,0.9144981412639405,0.9637348043722546,0.25,0.25429859562752205,0.25171943825100884
6,1,1043,0.09883643311946641,0.9030927835051547,0.9131238447319778,0.961964109374468,0.25,0.2514154214143835,0.2505661685657534
6,2,1043,0.08450939641147497,0.8989690721649485,0.9097605893186004,0.9586270303401777,0.25,0.24572752528618838,0.24829101011447535
6,3,1043,0.08331438461594098,0.9010309278350516,0.9114391143911439,0.9570095685633534,0.25,0.24855845767190596,0.24942338306876238
7,0,1043,0.11663868620875588,0.9072164948453608,0.9162011173184358,0.9620322130282289,0.25,0.2514090403266694,0.2505636161306678
7,1,1043,0.10353244694453989,0.9092783505154639,0.9182156133828996,0.9612830728368577,0.25,0.2542789767908208,0.25171159071632837
7,2,1043,0.09143504754903208,0.9051546391752577,0.9144981412639405,0.9589249838253822,0.25,0.2485650759378926,0.24942603037515707
7,3,1043,0.08603913085943955,0.9030927835051547,0.9131238447319778,0.9584227193788947,0.25,0.24574690694461723,0.24829876277784693
8,0,1043,0.10317683693420844,0.8969072164948454,0.9080882352941176,0.9616831818027037,0.25,0.2428970667901397,0.24715882671605588
8,1,1043,0.09820914991379481,0.9030927835051547,0.9111531190926276,0.9606360881261279,0.25,0.25138915494500974,0.2505556619780039
8,2,1043,0.07772067602387328,0.9010309278350516,0.9111111111111111,0.9575884496203222,0.25,0.24853248968203762,0.24941299587281504
8,3,1043,0.07723381436526486,0.9072164948453608,0.9158878504672897,0.9569074130827119,0.25,0.257181288582813,0.25287251543312517
9,0,1043,0.09771169912595534,0.8907216494845361,0.903107861060329,0.9608063472605305,0.25,0.23660306821083626,0.24464122728433452
9,1,1043,0.0940211020702136,0.9030927835051547,0.9131238447319778,0.9616576429325433,0.25,0.25349663025062863,0.2513986521002515
9,2,1043,0.07546996836000745,0.9051546391752577,0.9144981412639405,0.9625940681717575,0.25,0.2564036712879065,0.2525614685151626
9,3,1043,0.08131605191508773,0.9030927835051547,0.9131238447319778,0.9589505226955426,0.25,0.25349663025062863,0.2513986521002515
10,0,1043,0.10197518785625137,0.9072164948453608,0.9162011173184358,0.9669016242721423,0.25,0.24293334876524672,0.24717333950609868
10,1,1043,0.10670520040682344,0.9154639175257732,0.9191321499013807,0.9653182143221984,0.25,0.2541783785773645,0.2516713514309458
10,2,1043,0.07987420730833106,0.9072164948453608,0.9162011173184358,0.9582694861579323,0.25,0.24293334876524672,0.24717333950609868
10,3,1043,0.08334970947724717,0.9195876288659793,0.9251439539347409,0.9611638914427759,0.25,0.25995492389214214,0.25398196955685687
11,0,1043,0.09195929050280265,0.9134020618556701,0.9207547169811321,0.9627983791330406,0.25,0.2599968716831368,0.2539987486732547
11,1,1043,0.09176108884646168,0.9051546391752577,0.914179104477612,0.9659141212926073,0.25,0.24846893163162434,0.24938757265264974
11,2,1043,0.07120776803629075,0.9092783505154639,0.9176029962546817,0.9615554874519019,0.25,0.2541806223629917,0.2516722489451967
11,3,1043,0.08178274225311487,0.8969072164948454,0.9067164179104478,0.9597337147137943,0.25,0.2373535743222472,0.24494142972889887
12,0,1043,0.09873565583419927,0.9072164948453608,0.9158878504672897,0.9629686382674432,0.25,0.25983066115828135,0.2539322644633125
12,1,1043,0.09357251974004001,0.9092783505154639,0.9153846153846154,0.9634794156706508,0.25,0.26279673384999436,0.2551186935399977
12,2,1043,0.07146598847328778,0.8824742268041237,0.896551724137931,0.9610617359621344,0.25,0.22627983899291076,0.2405119355971643
12,3,1043,0.07801991633520788,0.9010309278350516,0.9097744360902256,0.9572649572649572,0.25,0.25109276599881347,0.2504371063995254
13,0,1043,0.09076105091681126,0.9010309278350516,0.9114391143911439,0.9635730581945722,0.25,0.25772759522906424,0.2530910380916257
13,1,1043,0.09694164305468891,0.9072164948453608,0.9155722326454033,0.9651990329281166,0.25,0.26669637892880643,0.2566785515715226
13,2,1043,0.07653656203235185,0.8824742268041237,0.896551724137931,0.9592740150509075,0.25,0.23225901598749488,0.24290360639499795
13,3,1043,0.0812180817598073,0.8907216494845361,0.903107861060329,0.9603977253379643,0.25,0.24331700985463442,0.24732680394185377
14,0,1043,0.09303373210397241,0.9010309278350516,0.9114391143911439,0.9630197160077638,0.25,0.25262927178202044,0.2510517087128082
14,1,1043,0.09517949989988853,0.9092783505154639,0.9166666666666666,0.9636156229781728,0.25,0.26440485943562086,0.2557619437742483
14,2,1043,0.06421254273194762,0.9010309278350516,0.9111111111111111,0.9633942861034495,0.25,0.25262927178202044,0.2510517087128082
14,3,1043,0.0749317491268585,0.8845360824742268,0.8981818181818182,0.9567031021214288,0.25,0.23033659700033832,0.24213463880013533
15,0,1043,0.08200008220001688,0.8865979381443299,0.9001814882032668,0.9638624987230566,0.25,0.2364542846130765,0.24458171384523059
15,1,1043,0.09062878648115384,0.9030927835051547,0.9121495327102803,0.9661184322538905,0.25,0.25928384751682315,0.25371353900672927
15,2,1043,0.06907360953706584,0.9051546391752577,0.9148148148148149,0.9602955698573229,0.25,0.2622572550303253,0.2549029020121301
15,3,1043,0.06666719023764499,0.8907216494845361,0.903107861060329,0.9609170156978921,0.25,0.24200461283977504,0.24680184513591003
16,0,1043,0.09232845896903577,0.8948453608247423,0.9064220183486239,0.9646542036980283,0.25,0.24211731477222306,0.24684692590888924
16,1,1043,0.08950260637370092,0.9092783505154639,0.9172932330827067,0.9646882555249089,0.25,0.2622830035994036,0.2549132014397614
16,2,1043,0.06890786934678642,0.8948453608247423,0.9060773480662984,0.9619811352879082,0.25,0.24211731477222306,0.24684692590888924
16,3,1043,0.06875078446039534,0.9030927835051547,0.9131238447319778,0.9614958967548609,0.25,0.2534823668561503,0.2513929467424601
17,0,1043,0.08777594071435689,0.9051546391752577,0.9144981412639405,0.96475635917867,0.25,0.26748769131759775,0.2569950765270391
17,1,1043,0.08718718160903578,0.8783505154639175,0.8936936936936937,0.9641434262948206,0.25,0.2301596543549728,0.24206386174198913
17,2,1043,0.06422133825520296,0.8969072164948454,0.9080882352941176,0.9627898661763205,0.25,0.25552152216586044,0.25220860886634416
17,3,1043,0.07139254332935223,0.8907216494845361,0.903107861060329,0.96076378247693,0.25,0.24683113216156888,0.24873245286462756
18,0,1043,0.07861947795241697,0.8927835051546392,0.9040590405904059,0.964296659515783,0.25,0.24959111675283768,0.24983644670113508
18,1,1043,0.08196926153652695,0.9154639175257732,0.9224952741020794,0.9659141212926073,0.25,0.2829466087201373,0.2631786434880549
18,2,1043,0.06635236732595666,0.9072164948453608,0.9162011173184358,0.9604828549051657,0.25,0.27042885222132024,0.2581715408885281
18,3,1043,0.07092959516913969,0.8515463917525773,0.8732394366197183,0.9589249838253823,0.25,0.19703342230570464,0.22881336892228185
19,0,1043,0.09315042362003954,0.8865979381443299,0.9001814882032668,0.9651990329281166,0.25,0.2384017966579198,0.24536071866316791
19,1,1043,0.08556654410580121,0.8886597938144329,0.9018181818181819,0.9634794156706508,0.25,0.24118683414552777,0.2464747336582111
19,2,1043,0.06855115881413351,0.8927835051546392,0.9044117647058824,0.9625429904314367,0.25,0.2468349928029265,0.2487339971211706
19,3,1043,0.0696555930110549,0.911340206185567,0.9193245778611632,0.9599550515885178,0.25,0.273576376393626,0.2594305505574504
20,0,1043,0.09014758190973104,0.9072164948453608,0.9162011173184358,0.9647393332652296,0.25,0.26518885151878097,0.25607554060751236
20,1,1043,0.0827886763916134,0.9010309278350516,0.9104477611940298,0.9629686382674431,0.25,0.2562707647475695,0.2525083058990278
20,2,1043,0.05912335884269166,0.8824742268041237,0.8961748633879781,0.96143630605782,0.25,0.23094614914530892,0.24237845965812357
20,3,1043,0.06720157516302669,0.8948453608247423,0.9064220183486239,0.959239963224027,0.25,0.2475942345883406,0.24903769383533625
21,0,1043,0.08741236366621875,0.8927835051546392,0.9044117647058824,0.9616065651922227,0.25,0.24949974735339364,0.24979989894135746
21,1,1043,0.08057920026957856,0.9051546391752577,0.9138576779026217,0.9659311472060477,0.25,0.2672718560742271,0.25690874242969086
21,2,1043,0.05856286882779516,0.8721649484536083,0.8884892086330936,0.9610787618755746,0.25,0.22198951650312687,0.23879580660125074
21,3,1043,0.06552844417389422,0.9010309278350516,0.9111111111111111,0.9607893213470903,0.25,0.26123888006925233,0.2544955520277009
22,0,1043,0.07993502484887197,0.9175257731958762,0.9245283018867925,0.9647223073517895,0.25,0.2749252033234937,0.2599700813293975
22,1,1043,0.08176858318968422,0.8989690721649485,0.9087523277467412,0.9626451459120782,0.25,0.2482258156068558,0.24929032624274233
22,2,1043,0.059487277652611976,0.8907216494845361,0.9027522935779817,0.9606531140395682,0.25,0.23704632902419456,0.24481853160967781
22,3,1043,0.0661580530093016,0.8927835051546392,0.9044117647058824,0.9599891034153982,0.25,0.23980265204545595,0.24592106081818238
23,0,1043,0.0792059088379095,0.8845360824742268,0.8985507246376812,0.9646712296114687,0.25,0.23629454213526507,0.24451781685410603
23,1,1043,0.0806404753665454,0.911340206185567,0.9190207156308852,0.965760888071645,0.25,0.27433333072192817,0.25973333228877127
23,2,1043,0.0638895387558827,0.8886597938144329,0.9010989010989011,0.9631388974018457,0.25,0.2418541703404238,0.24674166813616952
23,3,1043,0.05696999951288413,0.8927835051546392,0.9044117647058824,0.9619641093744679,0.25,0.2475179568023831,0.24900718272095324
24,0,1043,0.07570443815368337,0.8865979381443299,0.8998178506375227,0.9627302754792796,0.25,0.24906980433453757,0.24962792173381504
24,1,1043,0.08083834237582435,0.8989690721649485,0.908411214953271,0.9650968774474751,0.25,0.2669385198568279,0.2567754079427312
24,2,1043,0.062021049941029714,0.8865979381443299,0.8994515539305301,0.9624408349507952,0.25,0.24906980433453757,0.24962792173381504
24,3,1043,0.06189403353666569,0.8762886597938144,0.8920863309352518,0.959308066877788,0.25,0.2349218714740968,0.2439687485896387
