client,n_samples,accuracy,f1,auc
0,261,0.9693486590038314,0.9792746113989638,0.9941915227629513
1,261,0.9578544061302682,0.9715762273901809,0.9948445431472082
2,261,0.9731800766283525,0.9819121447028424,0.9973032994923858
3,261,0.9655172413793104,0.975609756097561,0.9955552317108715
