round,global_accuracy,global_precision,global_recall,global_f1,global_f1_micro,global_f1_per_class,global_auc,mean_client_accuracy,std_client_accuracy,global_weight_drift_l2
1,0.075396828353405,0.07539682539682538,1.0,0.13399411693518667,0.14022140221402213,"[0.2256420921285224, 0.07989197704512209, 0.3073667504298373, 0.3842949122585532, 0.12538450270982862, 0.11870199551651905, 0.036589575422851225, 0.18834271154050325, 0.13242858706358762, 0.069756042381509, 0.08190640338716325, 0.03342168952402904, 0.0854930999663413, 0.0066972977182462425]",0.5760501601402724,0.20946409553289413,0.013389191719165769,0.37207118265075256
2,0.14634540677070618,0.07515683254079877,0.9285714285714286,0.13351573852674053,0.14971953992317227,"[0.2256420921285224, 0.07989197704512209, 0.3073667504298373, 0.3842949122585532, 0.12538450270982862, 0.11870199551651905, 0.036589575422851225, 0.18834271154050325, 0.13242858706358762, 0.069756042381509, 0.08190640338716325, 0.03342168952402904, 0.0854930999663413, 0.0]",0.5043286621829435,0.2053285576403141,0.008459340417014025,0.11047416144941698
3,0.14634540677070618,0.07515683254079877,0.9285714285714286,0.13351573852674053,0.14971953992317227,"[0.2256420921285224, 0.07989197704512209, 0.3073667504298373, 0.3842949122585532, 0.12538450270982862, 0.11870199551651905, 0.036589575422851225, 0.18834271154050325, 0.13242858706358762, 0.069756042381509, 0.08190640338716325, 0.03342168952402904, 0.0854930999663413, 0.0]",0.6065785497294504,0.20504268631339073,0.005779600156253459,0.11186102654013434
4,0.1617942601442337,0.0754252975172491,0.925287356321839,0.13402973804277513,0.15196363533696602,"[0.2256420921285224, 0.07989197704512209, 0.3073667504298373, 0.3842949122585532, 0.12538450270982862, 0.11874563435167824, 0.036589575422851225, 0.18834271154050325, 0.13242858706358762, 0.06981658993131556, 0.08190640338716325, 0.04051349636354762, 0.0854930999663413, 0.0]",0.6222726299251243,0.22013645246624947,0.012098840578771326,0.11582457004979102
5,0.16271236538887024,0.0754458200493325,0.9250789244917568,0.13406869461558057,0.1520953379472499,"[0.2256420921285224, 0.07989197704512209, 0.3073667504298373, 0.3842949122585532, 0.12538450270982862, 0.11868083385418582, 0.036589575422851225, 0.18834271154050325, 0.13242858706358762, 0.0699380009073038, 0.08190640338716325, 0.04100227790432802, 0.0854930999663413, 0.0]",0.6312435236130248,0.21306601539254189,0.007714232991235921,0.049507982703204514
6,0.17024701833724976,0.07560157673692514,0.9204062599390881,0.13434286849508484,0.15311525370626183,"[0.2256420921285224, 0.07989197704512209, 0.307906421896746, 0.3842949122585532, 0.12538450270982862, 0.11876886827185038, 0.036589575422851225, 0.1883493771234428, 0.1325639995617719, 0.07091654847241921, 0.08190640338716325, 0.0430923806865755, 0.0854930999663413, 0.0]",0.6370867656251759,0.22583473101258278,0.010250253417404697,0.028400376446366216
7,0.1716730296611786,0.07567055795667425,0.9206754730145356,0.1344680837800952,0.15333842959176688,"[0.2256420921285224, 0.07989197704512209, 0.3080900142511517, 0.3842949122585532, 0.12538450270982862, 0.1193089129467596, 0.036589575422851225, 0.1883493771234428, 0.13246724811152064, 0.07116725074132553, 0.08190947242206235, 0.04396473779385172, 0.0854930999663413, 0.0]",0.6418341035676127,0.23313386365771294,0.01048980227707215,0.027365985553645077
8,0.17828679084777832,0.07855431799176844,0.919921982340446,0.1374572632597654,0.15421690899794913,"[0.2256420921285224, 0.07989197704512209, 0.3102548665462573, 0.3842949122585532, 0.12538450270982862, 0.11980531636091352, 0.036589575422851225, 0.18853882411312328, 0.13262657649424237, 0.07214241099312929, 0.08193403298350825, 0.04608921290003707, 0.0854930999663413, 0.03571428571428571]",0.6445871944142139,0.22855999693274498,0.010663149688937045,0.01493414250630963
9,0.18046624958515167,0.07863757011799064,0.9325642259352628,0.1394563206548237,0.1545100952084827,"[0.22558840861035045, 0.07996395990539475, 0.31540434262267053, 0.38430704163115864, 0.12538450270982862, 0.1199264070889498, 0.036589575422851225, 0.18858419951044733, 0.1334461946121007, 0.07756512941573224, 0.08194017542544418, 0.04326815014610025, 0.0854930999663413, 0.05492730210016155]",0.6492245952528553,0.2388702593743801,0.008307881819282591,0.01076152756216772
10,0.1861926019191742,0.08105061850499339,0.9190557483621957,0.13968827556125202,0.15531579023591943,"[0.22565205327413984, 0.08059441222184313, 0.31913347406305154, 0.3842949122585532, 0.12538450270982862, 0.11917040774681853, 0.036589575422851225, 0.1889540046172971, 0.13283052026507525, 0.07320655841835721, 0.08196967422308962, 0.0489108646264867, 0.08561156467680324, 0.05333333333333334]",0.6585872957381987,0.2386225052177906,0.006181867994368118,0.006454031146715391
11,0.18861764669418335,0.08138822289929251,0.9192855727931103,0.14016945908129047,0.1556145415260587,"[0.22566555740432612, 0.08308698908202278, 0.3244618810306436, 0.3842949122585532, 0.12538450270982862, 0.11908996591077516, 0.036589575422851225, 0.18901052032982657, 0.13264150253955495, 0.07183629091756301, 0.08198934813592379, 0.04918467453267931, 0.0858033735301852, 0.05333333333333334]",0.6626640531447935,0.2420719638466835,0.009736947462131528,0.004451712749328405
12,0.2042478770017624,0.08024345146166113,0.9373580112936083,0.14192920759488392,0.1575160946266549,"[0.22561186992997295, 0.09200232464571505, 0.34044815799468287, 0.3843313026735267, 0.12538450270982862, 0.1191508280537957, 0.03659378596087457, 0.19408631772268137, 0.13439440705068612, 0.07840109795848345, 0.0820004505519261, 0.04527312801572646, 0.0857260818976842, 0.0436046511627907]",0.6728547204630881,0.2713828384876251,0.01599719440186844,0.004086699874501548
13,0.2070663869380951,0.08025499787289754,0.9398902090441211,0.14202573474016036,0.15830679680673015,"[0.2258635653532373, 0.09448007865536776, 0.3419638495359062, 0.38430704163115864, 0.12538450270982862, 0.1189141339628209, 0.03659097882786131, 0.19251064449215766, 0.13477028639618138, 0.08042989913227326, 0.08310143712118324, 0.04585063454003158, 0.08553986742069586, 0.03865336658354115]",0.6867406839324378,0.2701059579849243,0.012161950620232335,0.003896480320971521
14,0.22111713886260986,0.08050145560817591,0.9323600056355416,0.14275643254117787,0.16072384366035397,"[0.22682280775128955, 0.09844559585492228, 0.3272249449534768, 0.3842949122585532, 0.12539368636929613, 0.11899211899211899, 0.036595189688902525, 0.19944053829288577, 0.13358862950143605, 0.0847036776762708, 0.08973875120560239, 0.04591444293237087, 0.08635012575261032, 0.041084634346754315]",0.6972241542211466,0.28561899811029434,0.012535486616519225,0.0032359748148032726
15,0.24831447005271912,0.08257938398637973,0.9238815913791003,0.14603641147162463,0.16481042800977316,"[0.23045942189115015, 0.1088533303803776, 0.3391013739324174, 0.3843313026735267, 0.12543502949042018, 0.12085755265343097, 0.036588646758138284, 0.2052401746724891, 0.13515537251965556, 0.09334305656839254, 0.09477991097522594, 0.04399954756249293, 0.08840127866135207, 0.03796376186367558]",0.7045357043595514,0.32449688017368317,0.025939114603526946,0.0030479359107118058
16,0.2462131381034851,0.08225536158377211,0.9363770077523964,0.1458305123752278,0.164777910050865,"[0.22748417334126123, 0.12812264732051196, 0.32988731890538364, 0.38442591890867756, 0.12542608950628598, 0.12033694344163658, 0.03723637523422238, 0.19909706546275396, 0.13514624033469053, 0.0977431222887266, 0.08752327746741155, 0.04451639012545528, 0.08703682327138405, 0.037644787644787646]",0.7125710565660512,0.31067998707294464,0.01105503230306599,0.0027790472525352577
17,0.2598731815814972,0.08380450602053686,0.9197152768523587,0.1482463541747548,0.16671903080267936,"[0.23553143108633462, 0.1496076139589247, 0.33146026943303797, 0.3843313026735267, 0.12540746438120354, 0.12044648917716268, 0.03767725062318663, 0.19637764361643023, 0.13807883658629927, 0.10384093456841112, 0.09044332472371597, 0.04042241422868981, 0.08591453764413294, 0.03590944574551132]",0.7193300132211204,0.33368273079395294,0.023318156497204263,0.002600438826923374
18,0.2700170874595642,0.08356426804599701,0.9235774937083888,0.14806986425197796,0.16877186627136578,"[0.22994690265486725, 0.12483452475509664, 0.32891966165816056, 0.38430704163115864, 0.12586537045220209, 0.12304679851184648, 0.03687729988525304, 0.20673680904522612, 0.13462754286139314, 0.09400644022021398, 0.10431293881644935, 0.048396244249795196, 0.09028419825541666, 0.04081632653061224]",0.7223241889601022,0.33907607197761536,0.014643920744187274,0.002497269508918565
19,0.27589133381843567,0.08481979185395015,0.9265293393489438,0.14988512139297488,0.16966931411638966,"[0.23582298537160543, 0.12591145833333334, 0.34010830057117425, 0.3843434343434343, 0.12566137566137567, 0.12237748627924176, 0.03759091280542617, 0.21446078431372548, 0.14029593674156424, 0.09946577077711076, 0.10109210399149512, 0.04503593890386343, 0.08789077651074392, 0.038334434897554524]",0.7270590087951054,0.34645144641399384,0.015028496254772135,0.002437802705244898
