client,n_samples,accuracy,precision,recall,f1_macro,f1_micro,f1_per_class,auc
0,937,0.3491385877132416,0.15222482112109265,0.9304870556739947,0.2552632904252669,0.2695071868583162,"[0.39357429718875503, 0.283495145631068, 0.45714285714285713, 0.4331103678929766, 0.22583732057416267, 0.24708171206225682, 0.09955752212389381, 0.24049331963001028, 0.2586027111574557, 0.24620573355817876, 0.16251638269986893, 0.15447154471544716, 0.2115971515768057, 0.16]",0.7441023343699885
1,937,0.3415154814720154,0.14444408251983784,0.9536133815319223,0.24326307345007722,0.2609514031485284,"[0.3751274209989806, 0.2546816479400749, 0.46996838777660693, 0.4179357021996616, 0.223069590085796, 0.2802303262955854, 0.07865168539325842, 0.24543610547667344, 0.22693531283138918, 0.208955223880597, 0.15119363395225463, 0.13350785340314136, 0.21499013806706113, 0.125]",0.732535861517163
2,937,0.3521116077899933,0.15058907473462302,0.9155781332100565,0.25204722709089805,0.27278172328227945,"[0.355601233299075, 0.30060120240480964, 0.474468085106383, 0.44867549668874174, 0.2656688493919551, 0.24442289039767218, 0.09857612267250822, 0.2317948717948718, 0.2507903055848261, 0.2638146167557932, 0.19395465994962216, 0.17204301075268819, 0.1847715736040609, 0.043478260869565216]",0.7411104863788989
3,937,0.3460130989551544,0.15074766696647104,0.9504875709638637,0.2534930514574997,0.26806586468731336,"[0.39794871794871794, 0.24334600760456274, 0.4472573839662447, 0.44739022369511183, 0.2551594746716698, 0.234251968503937, 0.07432432432432433, 0.25228891149542215, 0.23109243697478993, 0.22419928825622776, 0.18043202033036848, 0.16073781291172595, 0.21865596790371114, 0.18181818181818182]",0.7443961734940147
