client,n_samples,accuracy,precision,recall,f1,auc,specificity,sensitivity,balanced_accuracy,tn,fp,fn,tp
0,261,0.9425287356321839,0.994535519125683,0.9285714285714286,0.9604221635883905,0.9942700156985871,0.9846153846153847,0.9285714285714286,0.9565934065934066,64,1,14,182
1,261,0.9425287356321839,0.9840425531914894,0.9390862944162437,0.961038961038961,0.991751269035533,0.953125,0.9390862944162437,0.9461056472081218,61,3,12,185
2,261,0.946360153256705,0.9945945945945946,0.934010152284264,0.9633507853403142,0.9953997461928934,0.984375,0.934010152284264,0.959192576142132,63,1,13,184
3,261,0.9655172413793104,0.994475138121547,0.9574468085106383,0.975609756097561,0.9973039930049548,0.9863013698630136,0.9574468085106383,0.971874089186826,72,1,8,180
