round,client,n_train_samples,local_train_loss,local_test_accuracy,local_test_precision,local_test_recall,local_test_f1,local_test_auc,local_test_specificity,local_test_sensitivity,local_test_balanced_accuracy,size_weight,performance_weight,adaptive_weight
1,0,1043,0.2207912411313248,0.7938144329896907,0.7559322033898305,0.8884462151394422,0.8168498168498168,0.887765178601832,0.6923076923076923,0.8884462151394422,0.7903769537235672,0.25,0.2456682550482115,0.2482673020192846
1,1,1043,0.20736537836776434,0.8309278350515464,0.800711743772242,0.896414342629482,0.8458646616541353,0.9042803146388804,0.7606837606837606,0.896414342629482,0.8285490516566214,0.25,0.3087241647108962,0.27348966588435847
1,2,1043,0.18240511684273264,0.7278350515463917,0.9473684210526315,0.50199203187251,0.65625,0.8950522695542615,0.9700854700854701,0.50199203187251,0.7360387509789901,0.25,0.15919115014511737,0.21367646005804694
1,3,1043,0.19439381291904978,0.8185567010309278,0.7859649122807018,0.8924302788844621,0.835820895522388,0.8920046310484558,0.7393162393162394,0.8924302788844621,0.8158732591003508,0.25,0.28641643009577494,0.26456657203830997
2,0,1043,0.1720429148297501,0.8061855670103093,0.8866995073891626,0.7171314741035857,0.7929515418502202,0.9095923996322404,0.9017094017094017,0.7171314741035857,0.8094204379064938,0.25,0.25360629525970485,0.25144251810388196
2,1,1043,0.15934014926941795,0.756701030927835,0.6905444126074498,0.9601593625498008,0.8033333333333333,0.919280144379746,0.5384615384615384,0.9601593625498008,0.7493104505056696,0.25,0.18475940888310258,0.22390376355324104
2,2,1043,0.12715436404727343,0.843298969072165,0.7966101694915254,0.9362549800796812,0.8608058608058609,0.9222256274049103,0.7435897435897436,0.9362549800796812,0.8399223618347125,0.25,0.3176089871744603,0.27704359486978414
2,3,1043,0.15129991484848598,0.8,0.8666666666666667,0.7250996015936255,0.789587852494577,0.8948309326795383,0.8803418803418803,0.7250996015936255,0.8027207409677529,0.25,0.24402530868273234,0.24761012347309294
3,0,1043,0.13367958252623904,0.8474226804123711,0.8582995951417004,0.8446215139442231,0.8514056224899599,0.916436816835223,0.8504273504273504,0.8446215139442231,0.8475244321857868,0.25,0.26635019716607544,0.25654007886643015
3,1,1043,0.13424016550922666,0.8721649484536083,0.9126637554585153,0.8326693227091634,0.8708333333333333,0.9366636020022475,0.9145299145299145,0.8326693227091634,0.8735996186195389,0.25,0.30757125880918884,0.2730285035236755
