round,client_id,accuracy,precision,recall,f1_score,auc_roc,num_samples
15,1,1.0,1.0,1.0,1.0,1.0,521
15,2,1.0,1.0,1.0,1.0,1.0,1304
15,3,1.0,1.0,1.0,1.0,1.0,1825
15,4,0.9993614303959132,1.0,0.9991349480968859,0.9995672868887927,1.0,1566
30,1,1.0,1.0,1.0,1.0,1.0,521
30,2,1.0,1.0,1.0,1.0,1.0,1304
30,3,1.0,1.0,1.0,1.0,1.0,1825
30,4,1.0,1.0,1.0,1.0,1.0,1566
30,1,1.0,1.0,1.0,1.0,1.0,1304
30,2,1.0,1.0,1.0,1.0,1.0,1304
30,3,1.0,1.0,1.0,1.0,1.0,1304
30,4,1.0,1.0,1.0,1.0,1.0,1304
30,1,0.9961656441717791,0.9989517819706499,0.9958202716823407,0.9973835688121402,0.9995091529425227,1304
30,2,0.9938650306748467,0.9969543147208122,0.9949341438703141,0.9959432048681541,0.9998881356690605,1304
30,3,0.995398773006135,0.9959349593495935,0.9979633401221996,0.9969481180061037,0.999952562269927,1304
30,4,0.9984662576687117,1.0,0.9978925184404637,0.9989451476793249,0.99998219029668,1304
1,1,0.9194785276073619,0.9152046783625731,0.9811912225705329,0.9470499243570348,0.978773123262838,1304
1,2,0.9355828220858896,0.9320574162679426,0.9868287740628167,0.9586614173228346,0.9802255824136488,1304
1,3,0.9317484662576687,0.9264565425023877,0.9877800407331976,0.9561360275998029,0.978507545761597,1304
1,4,0.924079754601227,0.9216269841269841,0.9789251844046365,0.9494123658661217,0.9808842517698392,1304
2,1,0.9470858895705522,0.9521384928716904,0.9770114942528736,0.964414646725116,0.9880420020537282,1304
2,2,0.9555214723926381,0.963110667996012,0.9787234042553191,0.9708542713567839,0.988676133585188,1304
2,3,0.9562883435582822,0.9547689282202556,0.9887983706720977,0.9714857428714357,0.9878622661319907,1304
2,4,0.9539877300613497,0.9558974358974359,0.982086406743941,0.9688149688149689,0.9905964766470265,1304
3,1,0.9562883435582822,0.9828326180257511,0.9571577847439916,0.9698253043938592,0.9914177048232499,1304
3,2,0.9547546012269938,0.9803312629399586,0.9594731509625126,0.9697900665642601,0.9925082859507989,1304
3,3,0.9616564417177914,0.9804123711340206,0.9684317718940937,0.9743852459016393,0.9914042833107741,1304
3,4,0.9654907975460123,0.986021505376344,0.9662802950474183,0.9760510910058542,0.9935944433725641,1304
4,1,0.9624233128834356,0.9748953974895398,0.9738766980146291,0.974385781495034,0.9926222374796358,1304
4,2,0.9670245398773006,0.9758064516129032,0.9807497467071935,0.9782718544719555,0.9936045563940054,1304
4,3,0.9700920245398773,0.971028971028971,0.9898167006109979,0.9803328290468987,0.9932417047222678,1304
4,4,0.9693251533742331,0.9769150052465897,0.9810326659641728,0.9789695057833859,0.9949272028376794,1304
5,1,0.963957055214724,0.9850746268656716,0.9655172413793104,0.9751978891820581,0.9938930194321232,1304
5,2,0.963957055214724,0.9815573770491803,0.9706180344478217,0.9760570555272542,0.9945570012688612,1304
5,3,0.9723926380368099,0.9826530612244898,0.9806517311608961,0.981651376146789,0.9942790097531973,1304
5,4,0.9693251533742331,0.9850586979722519,0.9726027397260274,0.9787910922587487,0.9960878018373677,1304
6,1,0.9677914110429447,0.987220447284345,0.9686520376175548,0.9778481012658228,0.9949018155318463,1304
6,2,0.9662576687116564,0.9845837615621789,0.9706180344478217,0.9775510204081632,0.9958226662703473,1304
6,3,0.9754601226993865,0.9837067209775967,0.9837067209775967,0.9837067209775967,0.995370077544876,1304
6,4,0.973159509202454,0.9924568965517241,0.9704952581664911,0.9813532232285562,0.9970940500749492,1304
7,1,0.9716257668711656,0.9801670146137788,0.9811912225705329,0.9806788511749347,0.995202948695943,1304
7,2,0.9762269938650306,0.9847870182555781,0.983789260385005,0.9842878864673087,0.9962125933667647,1304
7,3,0.9746932515337423,0.9778449144008057,0.9887983706720977,0.9832911392405064,0.9961227561953676,1304
7,4,0.9792944785276073,0.9852631578947368,0.9863013698630136,0.985781990521327,0.997194971727096,1304
8,1,0.973159509202454,0.9904255319148936,0.9728317659352143,0.981549815498155,0.9960672008768998,1304
8,2,0.9746932515337423,0.9877300613496932,0.9787234042553191,0.983206106870229,0.9968102685063556,1304
8,3,0.9823619631901841,0.9887869520897044,0.9877800407331976,0.9882832399388691,0.9969544977293139,1304
8,4,0.9762269938650306,0.9924892703862661,0.9747102212855637,0.9835194045720361,0.9978658038854836,1304
9,1,0.9746932515337423,0.9852941176470589,0.9801462904911181,0.9827134625458355,0.9962418581120758,1304
9,2,0.9785276073619632,0.9868020304568528,0.9848024316109423,0.9858012170385395,0.9970627622819045,1304
9,3,0.9769938650306749,0.9808080808080808,0.9887983706720977,0.9847870182555781,0.9971916863796789,1304
9,4,0.9800613496932515,0.9873284054910243,0.9852476290832455,0.9862869198312236,0.9979993766603839,1304
10,1,0.9754601226993865,0.9842931937172775,0.9822361546499477,0.9832635983263598,0.9967056031847843,1304
10,2,0.977760736196319,0.9867886178861789,0.983789260385005,0.9852866565195332,0.9975357885955913,1304
10,3,0.9800613496932515,0.9828282828282828,0.9908350305498982,0.986815415821501,0.9975174254595135,1304
10,4,0.9846625766871165,0.9884332281808622,0.9905163329820864,0.9894736842105263,0.998394158417311,1304
11,1,0.9762269938650306,0.9853249475890985,0.9822361546499477,0.9837781266352695,0.997082019639905,1304
11,2,0.9823619631901841,0.9888438133874239,0.9878419452887538,0.988342625443487,0.9978426164747394,1304
11,3,0.9815950920245399,0.9848178137651822,0.9908350305498982,0.9878172588832488,0.998001290306258,1304
11,4,0.9861963190184049,0.9894847528916929,0.9915700737618546,0.9905263157894737,0.9987177013609582,1304
12,1,0.9792944785276073,0.9823651452282157,0.9895506792058516,0.9859448204060385,0.9973650848141558,1304
12,2,0.9808282208588958,0.9848790322580645,0.9898682877406282,0.9873673572511369,0.9980983063740296,1304
12,3,0.9785276073619632,0.9789156626506024,0.9928716904276986,0.9858442871587462,0.9980993282817422,1304
12,4,0.9869631901840491,0.9874476987447699,0.9947312961011591,0.9910761154855643,0.9988690838391783,1304
13,1,0.9823619631901841,0.9864583333333333,0.9895506792058516,0.9880020865936359,0.9977234332794306,1304
13,2,0.9838957055214724,0.9898580121703854,0.9888551165146909,0.9893563101875317,0.9984083303769189,1304
13,3,0.9838957055214724,0.9868287740628167,0.9918533604887984,0.98933468765871,0.9985863556438249,1304
13,4,0.9884969325153374,0.990546218487395,0.9936775553213909,0.9921094160967912,0.9991391976728654,1304
14,1,0.9808282208588958,0.992600422832981,0.9811912225705329,0.9868628481345244,0.9979071245095293,1304
