round,client_id,weight_drift
1,1,554.9131419425199
1,2,697.9074234289664
1,3,483.3328162981188
1,4,1198.7038145949725
2,1,554.567491715284
2,2,697.6717332732499
2,3,483.0150316522214
2,4,1198.5478960594207
3,1,554.5643878970881
3,2,697.66971786566
3,3,483.015565871302
3,4,1198.5467339736895
4,1,554.5652328431158
4,2,697.6697162788269
4,3,483.0146588676054
4,4,1198.5450649562404
5,1,554.5586474310459
5,2,697.6700196464848
5,3,483.01150532159767
5,4,1198.546374147403
6,1,554.559806876263
6,2,697.6726196089404
6,3,483.01958906728356
6,4,1198.543865995699
7,1,554.5636557861302
7,2,697.6685652656874
7,3,483.0163901752584
7,4,1198.5453492037273
8,1,554.5751866802551
8,2,697.6692984048792
8,3,483.0188879202442
8,4,1198.5478714485942
9,1,554.5683664703287
9,2,697.6818262310117
9,3,483.0121674710444
9,4,1198.5445879505974
10,1,554.5616306357958
10,2,697.6660504815552
10,3,483.01817906583057
10,4,1198.551316914872
