client,n_samples,accuracy,precision,recall,f1,auc,specificity,sensitivity,balanced_accuracy,tn,fp,fn,tp
0,4327,0.9861335798474694,0.1111111111111111,0.018867924528301886,0.03225806451612903,0.6509610545554074,0.9981282171268133,0.018867924528301886,0.5084980708275576,4266,8,52,1
1,4327,0.9907557198983129,0.0,0.0,0.0,0.5165290906670217,0.9988350419384903,0.0,0.49941752096924513,4287,5,35,0
2,4327,0.9879824358678068,0.1,0.022727272727272728,0.037037037037037035,0.6140396493536815,0.9978986691571329,0.022727272727272728,0.5103129709422028,4274,9,43,1
3,4327,0.9902935058932285,0.0,0.0,0.0,0.6121779121779122,0.9988344988344988,0.0,0.4994172494172494,4285,5,37,0
