round,client,n_train_samples,local_train_loss,local_test_accuracy,local_test_precision,local_test_recall,local_test_f1,local_test_auc,local_test_specificity,local_test_sensitivity,local_test_balanced_accuracy,size_weight,performance_weight,adaptive_weight
1,0,17304,0.6312854208368911,0.8664201525306217,0.02702702702702703,0.2830188679245283,0.049342105263157895,0.6676481754531569,0.873654656059897,0.2830188679245283,0.5783367619922126,0.25,0.4299219919605912,0.3219687967842365
1,1,17304,0.6392997715753019,0.7094984978044835,0.011980830670926517,0.42857142857142855,0.023310023310023312,0.5772799893489549,0.711789375582479,0.42857142857142855,0.5701804020769538,0.25,0.15830853743226267,0.21332341497290508
1,2,17304,0.6507794227540603,0.848624913334874,0.017377567140600316,0.25,0.03249630723781388,0.6640364655190711,0.8547746906374036,0.25,0.5523873453187018,0.25,0.3875482872187227,0.3050193148874891
1,3,17304,0.6620098361631859,0.48740466836145135,0.010767160161507403,0.6486486486486487,0.02118270079435128,0.6247590247590248,0.486013986013986,0.6486486486486487,0.5673313173313174,0.25,0.024221183388423245,0.1596884733553693
2,0,17304,0.5862136884862746,0.9510053154610585,0.029585798816568046,0.09433962264150944,0.04504504504504504,0.6745128508489242,0.9616284510996724,0.09433962264150944,0.5279840368705909,0.25,0.6735484153189837,0.4194193661275935
2,1,17304,0.5892098598746848,0.8070256528772822,0.01338199513381995,0.3142857142857143,0.025670945157526253,0.5964651843962189,0.8110438024231128,0.3142857142857143,0.5626647583544135,0.25,0.29640859727541735,0.268563438910167
2,2,17304,0.6098590165101225,0.22995146752946613,0.011876484560570071,0.9090909090909091,0.023446658851113716,0.6755407212446671,0.22297455054868084,0.9090909090909091,0.5660327298197949,0.25,0.0005567176941233531,0.15022268707764935
2,3,17304,0.6321548495131808,0.5086665125953317,0.010772833723653397,0.6216216216216216,0.02117863720073665,0.633938133938134,0.5076923076923077,0.6216216216216216,0.5646569646569646,0.25,0.029486269711475586,0.16179450788459027
3,0,17304,0.4926537553864134,0.8976195978738156,0.017326732673267328,0.1320754716981132,0.030634573304157548,0.6561261157856632,0.9071127749181095,0.1320754716981132,0.5195941233081114,0.25,0.4067008316185318,0.3126803326474127
3,1,17304,0.4890564270028345,0.13357984746937832,0.008470089994706194,0.9142857142857143,0.016784683975872017,0.6351551058447611,0.12721342031686858,0.9142857142857143,0.5207495673012914,0.25,2.9683707699741142e-05,0.15001187348307987
3,2,17304,0.5555959515232255,0.9669516986364687,0.02857142857142857,0.06818181818181818,0.040268456375838924,0.6634686816802157,0.9761849171141723,0.06818181818181818,0.5221833676479952,0.25,0.5899800597972379,0.3859920239188951
