client,n_samples,accuracy,f1,auc,tn,fp,fn,tp
0,261,0.9386973180076629,0.9576719576719577,0.9909733124018838,64,1,15,181
1,261,0.9348659003831418,0.9553805774278216,0.9899270304568528,62,2,15,182
2,261,0.946360153256705,0.9631578947368421,0.9891338832487309,64,0,14,183
3,261,0.9540229885057471,0.967391304347826,0.9917662489070243,71,2,10,178
