round,global_weight_drift_l2
1,0.004541076818157392
2,0.00042639526275037374
3,0.0001921006617634435
4,0.00013708458248310262
5,0.00014859403192372679
6,0.00010366917401681967
7,0.00023927580564204405
8,0.0001606592755003213
9,0.0001809507962806963
10,0.00019443629812701858
11,0.0003176387209551808
12,0.0002692453153970069
13,0.00011218048599576972
14,8.679392261813443e-05
15,0.00018664950985251814
16,0.00011071640414482137
17,0.00013677028710414195
18,0.0001376480500342538
19,0.00010964044495965613
20,0.00020951096811863088
