client,n_samples,accuracy,precision,recall,f1,auc,specificity,sensitivity,balanced_accuracy,tn,fp,fn,tp
0,4327,0.8784377166628149,0.02982107355864811,0.2830188679245283,0.0539568345323741,0.6788612143632847,0.8858212447356106,0.2830188679245283,0.5844200563300694,3786,488,38,15
1,4327,0.8816732146984053,0.014256619144602852,0.2,0.026615969581749048,0.6179270403408335,0.8872320596458527,0.2,0.5436160298229263,3808,484,28,7
2,4327,0.877282181650104,0.013972055888223553,0.1590909090909091,0.025688073394495414,0.6516831872307006,0.8846602848470698,0.1590909090909091,0.5218755969689894,3789,494,37,7
3,4327,0.8879131037670441,0.017241379310344827,0.21621621621621623,0.031936127744510975,0.6083727083727084,0.8937062937062937,0.21621621621621623,0.554961254961255,3834,456,29,8
